Clinic Name,Clinic Street Address,City,State,Postcode,Phone Number,Fax Number,Website address,Staff Names
Vasse Dental,3/21 Napoleon Promenade,Vasse,WA,6280,897550548,897550542,http://www.vassedental.com.au,"['Dr Tara Gopal', 'Dr Bryan Fleming', 'Dr Timothy Steven']"
Allied Dental Ocean Keys,Ocean Keys Shopping Centre,Clarkson,WA,6030,861746705,1300859359,http://www.allieddental.com.au,"['Dr Jeff Luebbert', 'Dr Cina Yaqub', 'Dr Sally Choden', 'Dr Jonathan Ng', 'Dr Viviane Nguyen']"
All Dental Pinjarra,39 McLarty road,Pinjarra,WA,6208,865556503,Not Available,http://www.alldentalpinjarra.com.au,"['Dr Lee Jasson', 'Dr Faisal Syed', 'Dr Sharifa Shaik']"
Alkimos Beach Dental Centre,Suite 8 / 15 Graceful Blvd,Alkimos,WA,6038,895029901,Not Available,https://www.alkimosbeachdental.net.au/,['Dr Paul Boulos - Dentist']
Exceptional Dental Care,Suite 2 / 21 Mell road,Spearwood,WA,6163,861540330,Not Available,http://www.exceptionaldentalcare.com.au,"['Dr Jeremy Foster', 'Dr Sharifa Shaik', 'Dr Alexis Ong']"
Australind Family Dentistry,Unit 1 / 12 Leisure Drive,Australind,WA,6233,897258005,not available,not available,['Dr Bhumit Shah']
Heathridge Dental centre,Unit 8 / 99 Caridean Street,Heathridge,WA,6027,893087145,Not Available,https://www.heathridgedentalcentre.com.au/,"['Dr Hetal Hirpara', 'Dr Rahul Pankhaniya', 'Dr Somil Kharbanda', 'Dr Akanksha Dalwadi', 'Dr Sanjana Mehta', 'Dr Ravi Haria']"
Allied Dental Centre Port Coogee,2B / 6 Calypso Parade,Coogee,WA,6163,861746704,894986800,http://www.allieddental.com.au,"['Dr Michelle Tien', 'Dr Claire Waldock', 'Dr Vincent Goh', 'Dr Natania Ong']"
The London Clinic - Dental,Claremont Medical Centre,Claremont,WA,6010,892842781,1300123852,http://www.thelondonclinicdental.com.au,['Dr Amy Bailey']
Admire Dental,Shop 16 / 150 Camborne Parkway,Butler,WA,6036,895625866,Not Available,https://www.admiredental.com.au,['Dr Hau Yan Chan']
Kinross Drive Dental,Unit 4a / 59 Kinross Drive,Kinross,WA,6028,862016555,Not Available,http://www.kddental.com.au/,"['Dr Silvia Sutikno', 'Dr Tina Nguyen', 'Dr Jessica Filipiak']"
First Impressions Dental - Padbury (previously Glengarry Dental),1/6 Blackwattle Parade,Padbury,WA,6025,894480804,Not Available,http://www.firstimpressionsdental.com.au/index.html,"['Dr Silas Prashant', 'Dr Elissa Boon', 'Dr Vrej Boyadjian', 'Dr Ezra Oon', 'Dr Grace Gilbert', 'Dr Saroj Kamble']"
Jupiter Dental Clinic Lakelands,not available,not available,not available,not available,not available,not available,http://www.jupiterdentalclinic.com.au,"['Dr Paul Chung', 'Dr Nikita Nepali', 'Dr Elton Wong']"
Butler Village Family Dental,Unit 3 / 2 Marchwood Boulevard,Butler,WA,6036,861884508,Not Available,http://www.butlervillagedental.com.au/,"['Dr Clemontine Williams', 'Dr Kanagashegri Naicker', 'Dr Richard McDonald']"
Bicton Dental Clinic,40 Foss Street,Bicton,WA,6157,08 9339 8008,08 9339 5732,http://www.bictondental.com.au/,['Dr Ari Khadembashi']
Port Kennedy Central Dental Care,Port Kennedy Central Shops,Kennedy,WA,6172,865007345,Not Available,http://portkennedycentraldentalcare.com.au,"['Dr Sonu (Sonia) Yadav', 'Dr Pal Singh', 'Dr Jeremy Foster', 'Dr Peter Brand']"
Glencoe Dental Studios,78A Glencoe Parade,Head,WA,6210,895558900,Not Available,http://www.glencoedental.com.au/,"['Dr Jeremy Foster', 'Dr Debbie Quail']"
Eaton Family Dental Practice,9 Albatross Crescent,Eaton,WA,6232,897251688,Not Available,http://www.fadc.com.au/,"['Dr Brandon Soh', 'Dr Charles Sun', 'Dr Ching Wen Tan', 'Dr Alan Lim', 'Dr Zach Lawrence']"
W Dental Baldivis,Suite 1 / 9 Atwick Terrace,Baldivis,WA,6171,08 9523 0552,08 9591 8120,https://www.wdentalbaldivis.com.au,['Dr Julene Wong']
Beyond Smiles Dental - Yanchep,u3 / 105 Lindsay Beach Blvd,Yanchep,WA,6035,895616451,895615628,http://www.beyondsmilesdental.com.au,"['Dr Karthik Dorairaj', 'Dr Sarmah Nayeem', 'Dr Grishma Patel']"
Kinross Drive Dental,Unit 4a / 59 Kinross Drive,Kinross,WA,6028,862016555,Not Available,http://www.kddental.com.au/,"['Dr Silvia Sutikno', 'Dr Tina Nguyen', 'Dr Jessica Filipiak']"
First Impressions Dental - Padbury (previously Glengarry Dental),1/6 Blackwattle Parade,Padbury,WA,6025,894480804,Not Available,http://www.firstimpressionsdental.com.au/index.html,"['Dr Silas Prashant', 'Dr Elissa Boon', 'Dr Vrej Boyadjian', 'Dr Ezra Oon', 'Dr Grace Gilbert', 'Dr Saroj Kamble']"
Jupiter Dental Clinic Lakelands,not available,not available,not available,not available,not available,not available,http://www.jupiterdentalclinic.com.au,"['Dr Paul Chung', 'Dr Nikita Nepali', 'Dr Elton Wong']"
Butler Village Family Dental,Unit 3 / 2 Marchwood Boulevard,Butler,WA,6036,861884508,Not Available,http://www.butlervillagedental.com.au/,"['Dr Clemontine Williams', 'Dr Kanagashegri Naicker', 'Dr Richard McDonald']"
Bicton Dental Clinic,40 Foss Street,Bicton,WA,6157,08 9339 8008,08 9339 5732,http://www.bictondental.com.au/,['Dr Ari Khadembashi']
