,Name,Old_price($),Current_price($),Shipping,Date_Scraped,Brand
0,Nike Satire L Black/Black-Anthracite 654431-002 Men's Size 8,0.0,21.5,Free Shipping,2019-12-30 10:50:21,Nike
1,Lucky Brand Mens Gaston Leather Plain Toe Boot,130.0,89.99,Free Shipping,2019-12-30 10:50:21,Lucky
2,Adidas ZX Flux W White/White-Gold BY9216 Women's Size 9,0.0,19.74,Free Shipping,2019-12-30 10:50:21,Adidas
3,Nike Men's Tennis Classic CS Suede Tennis Shoe,0.0,21.5,Free Shipping,2019-12-30 10:50:21,Nike
4,Puma Fat Lace + Steel Grey/Mulberry Purple  Men's 351249 04 Size 8 Medium,0.0,21.5,Free Shipping,2019-12-30 10:50:21,Puma
5,Puma Clyde X Undftd Snakeskin Ribbon Red 353917 02 Men's Size 5.5,0.0,21.5,Free Shipping,2019-12-30 10:50:21,Puma
6,Puma Clyde Court Reform Meek  Mens Red Athletic Basketball Shoes 10,120.0,92.99,Free Shipping,2019-12-30 10:50:21,Puma
7,Puma Palace Guard Red October  Mens Red Athletic Basketball Shoes 11,90.0,44.99,Free Shipping,2019-12-30 10:50:21,Puma
8,Skechers Urbantrack Wynn Casual Shoes Mens Laced Shock Absorbing Footwear,95.98,64.99,Special Shipping,2019-12-30 10:50:21,Skechers
9,Air Cushion Shoes Max 97 Men's Sneakers Sports Fitness Training Running Shoes Black soul gray hook,199.0,89.0,Free Shipping,2019-12-30 10:50:21,Air
10,Air Cushion Shoes Max 97 Men's Sneakers Sports Fitness Training Running Shoes Black orange pattern,199.0,89.0,Free Shipping,2019-12-30 10:50:21,Air
11,AdTec Men's Black Oiled Leather Logger Boots,117.49,93.99,Free Shipping,2019-12-30 10:50:21,AdTec
12,CHURCH'S MEN'S EOG0019OMF0RCV BLACK LEATHER MONK STRAP SHOES,0.0,1002.0,Free Shipping,2019-12-30 10:50:21,CHURCH'S
13,Lonsdale Mens Fulham Trainers Lace Up Sports Padded Ankle Collar Leather,95.98,43.99,Free Shipping,2019-12-30 10:50:21,Lonsdale
14,Alpine Swiss Haris Mens Retro Striped Athletic Shoes Fashion Sneaker Tennis Shoe,87.5,17.99,Free Shipping,2019-12-30 10:50:21,Alpine
15,Alpine Swiss Leo Men Sneakers Flex Knit Tennis Shoes Casual Athletic Lightweight,75.0,18.99,Free Shipping,2019-12-30 10:50:21,Alpine
16,AlpineSwiss Stefan Men's Retro Fashion Sneakers Tennis Shoes Casual Athletic Shoe,75.0,19.99,Free Shipping,2019-12-30 10:50:21,AlpineSwiss
17,Alpine Swiss Yukon Mens Suede Shearling Moccasin Slippers Moc Toe Slip On Shoes,38.0,19.99,Free Shipping,2019-12-30 10:50:21,Alpine
18,Converse Chuck Taylor Hi Phantom 140051F Men's Size 11,0.0,61.56,Free Shipping,2019-12-30 10:50:21,Converse
19,Converse Chuck Taylor Ox Converse Navy 147038F Men's Size 4.5,0.0,32.4,Free Shipping,2019-12-30 10:50:21,Converse
20,Magnum Viper Low Slip Resistant Leather Work Shoes/Boots - Black,0.0,49.95,Free Shipping,2019-12-30 10:50:21,Magnum
21,Air Cushion Shoes Max 97 Men's Sneakers Sports Fitness Training Running Shoes Full red,199.0,89.0,Free Shipping,2019-12-30 10:50:21,Air
22,men fashion leather tooling boots leather shoes,99.0,59.0,Free Shipping,2019-12-30 10:50:21,men
23,Air Cushion Shoes Max 95 Men's Sneakers Sports Running Training Fitness Shoes Black clamshell,199.0,89.0,Free Shipping,2019-12-30 10:50:21,Air
24,Puma Pointy Creeper Patent Wns Womens Black Casual Lace Up Sneakers Shoes 9,190.0,25.99,Free Shipping,2019-12-30 10:50:21,Puma
25,New Balance Tempus Blue/White TEMPUSWB Men's Size 8,0.0,19.8,Free Shipping,2019-12-30 10:50:21,New
26,New Balance 420 Re-Engineered Beige/Off White MRL420DB Men's Size 7,0.0,17.82,Free Shipping,2019-12-30 10:50:21,New
27,Puma Clyde Court HW  Mens Black Canvas Athletic Basketball Shoes 11.5,120.0,97.99,Free Shipping,2019-12-30 10:50:21,Puma
28,Adidas Streetrun VII I Solar Blue/Black/Solar Slime Toddler Kids Running Shoes Size 6.5,45.0,17.95,Free Shipping,2019-12-30 10:50:21,Adidas
29,Adidas Tubular Instinct Craft Chili/Off White S80089 Men's Size 6,0.0,21.5,Free Shipping,2019-12-30 10:50:21,Adidas
30,Radii Square  Mens Black Casual Lace Up Low Top Sneakers Shoes 9.5,100.0,18.99,Free Shipping,2019-12-30 10:50:21,Radii
31,Rockport 7100 Bike Toe White/Croc  Men's A10673 Size 8 Medium,0.0,36.0,Free Shipping,2019-12-30 10:50:21,Rockport
32,Puma Replicat-X Pirelli V2  Mens Black Firelli Athletic Racing Shoes 11,100.0,57.99,Free Shipping,2019-12-30 10:50:21,Puma
33,Puma Cell Descend  Mens White Canvas Lace Up Athletic Running Shoes 9.5,90.0,53.99,Free Shipping,2019-12-30 10:50:21,Puma
34,Puma Replicat-X Pirelli V2  Mens White Firelli Athletic Racing Shoes 11.5,100.0,57.99,Free Shipping,2019-12-30 10:50:21,Puma
